"DateTime","Scenario","Island","Load","Reference_price"
"26-FEB-2025 11:55","base","NI",3171.663,81.253
"26-FEB-2025 11:55","base","SI",1281.140,76.706
"26-FEB-2025 11:55","increase conforming load 0.5%","NI",3187.521,131.772
"26-FEB-2025 11:55","increase conforming load 0.5%","SI",1287.546,124.398
"26-FEB-2025 11:55","increase conforming load 1.0%","NI",3203.379,153.163
"26-FEB-2025 11:55","increase conforming load 1.0%","SI",1293.951,144.592
"26-FEB-2025 11:55","increase conforming load 1.5%","NI",3219.238,193.784
"26-FEB-2025 11:55","increase conforming load 1.5%","SI",1300.357,182.939
"26-FEB-2025 11:55","increase conforming load 2.0%","NI",3235.096,215.939
"26-FEB-2025 11:55","increase conforming load 2.0%","SI",1306.763,203.855
"26-FEB-2025 11:55","increase conforming load 3.0%","NI",3266.813,281.611
"26-FEB-2025 11:55","increase conforming load 3.0%","SI",1319.574,250.000
"26-FEB-2025 11:55","increase conforming load 4.0%","NI",3298.529,282.709
"26-FEB-2025 11:55","increase conforming load 4.0%","SI",1332.385,250.000
"26-FEB-2025 11:55","increase conforming load 5.0%","NI",3330.246,284.129
"26-FEB-2025 11:55","increase conforming load 5.0%","SI",1345.197,251.342
"26-FEB-2025 11:55","decrease conforming load 0.5%","NI",3155.804,81.218
"26-FEB-2025 11:55","decrease conforming load 0.5%","SI",1274.734,76.673
"26-FEB-2025 11:55","decrease conforming load 1.0%","NI",3139.946,75.997
"26-FEB-2025 11:55","decrease conforming load 1.0%","SI",1268.328,55.892
"26-FEB-2025 11:55","decrease conforming load 1.5%","NI",3124.088,75.997
"26-FEB-2025 11:55","decrease conforming load 1.5%","SI",1261.923,55.892
"26-FEB-2025 11:55","decrease conforming load 2.0%","NI",3108.230,14.721
"26-FEB-2025 11:55","decrease conforming load 2.0%","SI",1255.517,1.548
"26-FEB-2025 11:55","decrease conforming load 3.0%","NI",3076.513,0.144
"26-FEB-2025 11:55","decrease conforming load 3.0%","SI",1242.706,0.031
"26-FEB-2025 11:55","decrease conforming load 4.0%","NI",3044.796,17.558
"26-FEB-2025 11:55","decrease conforming load 4.0%","SI",1229.894,0.031
"26-FEB-2025 11:55","decrease conforming load 5.0%","NI",3013.080,17.558
"26-FEB-2025 11:55","decrease conforming load 5.0%","SI",1217.083,0.030
