"TradingPeriod","Pnodename","vSPDDollarsPerMegawattHour"
"TP24","ABY0111",78.78809
"TP24","ABY1101",78.76850
"TP24","ALB0331",93.63014
"TP24","ALB1101",93.50033
"TP24","ALB2201",93.39322
"TP24","APS0111",80.01390
"TP24","APS0661",79.98165
"TP24","ARA2201",86.56651
"TP24","ARA2201 ARA0",86.56651
"TP24","ARG1101",81.53028
"TP24","ARG1101 BRR0",81.53028
"TP24","ARI1101",88.75416
"TP24","ARI1101 ARI0",88.75416
"TP24","ARI1102",91.50869
"TP24","ARI1102 ARI0",91.50869
"TP24","ASB0661",79.77717
"TP24","ASB0661 HBK0",79.77717
"TP24","ASB2201",79.73601
"TP24","ASY0111",81.63594
"TP24","ASY0661",81.58050
"TP24","ATI2201",87.47158
"TP24","ATI2201 ATI0",87.47158
"TP24","AVI2201",76.46190
"TP24","AVI2201 AVI0",76.46190
"TP24","BAL0331",80.49426
"TP24","BAL1101",80.40681
"TP24","BDE0111",80.08916
"TP24","BDE1101",80.03460
"TP24","BEN2201",76.70559
"TP24","BEN2202",76.70559
"TP24","BEN2202 BEN0",76.70559
"TP24","BEN3502",76.70559
"TP24","BEN3503",76.70559
"TP24","BHL2201",0.00000
"TP24","BHL2202",92.65586
"TP24","BLN0331",82.77383
"TP24","BLN1101",82.64898
"TP24","BOB0331",0.00000
"TP24","BOB1101",92.36052
"TP24","BOB2204",92.05885
"TP24","BOB2205",92.07118
"TP24","BOT2201",92.05834
"TP24","BOT2202",92.07067
"TP24","BPC1101",77.65166
"TP24","BPD1101",78.39073
"TP24","BPE0331",82.23959
"TP24","BPE0331 TWF0",82.23959
"TP24","BPE0551",82.24504
"TP24","BPE1101",82.36221
"TP24","BPE2201",82.17924
"TP24","BPT1101",77.66915
"TP24","BRB0331",94.11657
"TP24","BRB2201",94.04973
"TP24","BRK0331",82.71914
"TP24","BRK2201",82.55671
"TP24","BRK2202",82.55671
"TP24","BRY0661",80.22644
"TP24","BRY2201",80.19692
"TP24","BWK1101",78.94927
"TP24","BWK1101 WPI0",78.94927
"TP24","CBG0111",92.18735
"TP24","CBG1101",91.64347
"TP24","CBG1102",91.64365
"TP24","CLH0111",79.25925
"TP24","CLH0661",79.19253
"TP24","CML0331",77.37667
"TP24","CML1101",77.36780
"TP24","CML1102",77.36676
"TP24","CML2201",77.33798
"TP24","CML2202",77.33887
"TP24","COL0111",78.70504
"TP24","COL0661",78.65696
"TP24","COL0661 COL0",78.65696
"TP24","CPK0111",82.26633
"TP24","CPK0331",81.92235
"TP24","CPK1101",81.60072
"TP24","CPK1102",81.59960
"TP24","CPK1103",81.76132
"TP24","CST0331",82.31553
"TP24","CST1101",82.16313
"TP24","CUL0331",80.65047
"TP24","CUL0661",80.73390
"TP24","CUL2202",80.60855
"TP24","CUL2203",80.60721
"TP24","CYD0331",77.44036
"TP24","CYD2201",77.42120
"TP24","CYD2201 CYD0",77.42120
"TP24","DOB0331",82.24575
"TP24","DOB0661",82.18502
"TP24","DOB1101",82.16132
"TP24","DOB1102",82.24247
"TP24","DRY2201",92.40464
"TP24","DRY2202",92.40464
"TP24","DVK0111",84.27150
"TP24","DVK1101",84.13328
"TP24","DVK1102",84.16842
"TP24","EDG0331",87.05136
"TP24","EDG1101",86.51828
"TP24","EDG1102",86.51828
"TP24","EDG2201",87.00678
"TP24","EDN0331",80.98347
"TP24","EDN1101",80.71663
"TP24","FHL0331",89.09380
"TP24","FHL1101",88.93578
"TP24","FKN0331",77.72891
"TP24","FKN1101",77.68977
"TP24","FKN1102",77.69595
"TP24","GFD0331",81.62949
"TP24","GFD1101",81.41820
"TP24","GFD1102",81.30464
"TP24","GLN0331",92.64553
"TP24","GLN0332",92.39265
"TP24","GLN0332 GLN0",92.39265
"TP24","GLN2201",92.51269
"TP24","GNY1101",78.52760
"TP24","GOR0331",79.17207
"TP24","GOR0331 KWD0",79.17207
"TP24","GOR1101",79.21120
"TP24","GOR1102",79.21120
"TP24","GOR2201",79.15667
"TP24","GOR2202",79.15642
"TP24","GOT2201",79.16205
